timestamp,Academic_MW,Boys_main_MW,Facilities_MW,Girls_main_MW,Library_MW,Mess_MW
2013-08-10 00:00:00+05:30,50.04221303699,30.37824903905,0.0,12.17335374504,20.97590628492,0.0
2013-08-11 00:00:00+05:30,24.37139973093,29.23642635405,0.0,11.3855334437,9.2843104051,0.0
2013-08-12 00:00:00+05:30,50.10113624609,33.3777001655,0.0,11.67957889999,16.62112476231,0.0
2013-08-13 00:00:00+05:30,50.990300286250005,35.64906542037,0.0,12.58176914869,17.35516537444,0.0
2013-08-14 00:00:00+05:30,49.33641424175,27.77675182288,0.0,12.86241898437,15.587241294250001,0.0
2013-08-15 00:00:00+05:30,25.715845072889998,30.21533527335,0.0,11.74028839107,5.90722629384,0.0
2013-08-16 00:00:00+05:30,52.39560475406,29.92199625449,0.0,7.45665628307,20.32056151602,0.0
2013-08-17 00:00:00+05:30,41.47312423887,31.195914105950003,0.0,5.5704456897,23.246548951239998,0.0
2013-08-18 00:00:00+05:30,19.0316501681,30.43794991583,0.0,11.79116799126,3.86173658078,0.0
2013-08-19 00:00:00+05:30,52.428490120300005,29.49075302,0.0,10.80602232691,15.042232815190001,0.0
2013-08-20 00:00:00+05:30,28.13603383159,28.6868609,0.0,9.78674854136,4.6835001874,0.0
2013-08-21 00:00:00+05:30,48.6192066011,31.855699920000003,0.0,10.88707152216,15.00539088561,0.0
2013-08-22 00:00:00+05:30,51.1782293077,32.92393475,0.0,14.0361603182,13.8144323253,0.0
2013-08-23 00:00:00+05:30,52.817645221170004,32.76283377,0.0,12.66107314779,14.998619060960001,0.0
2013-08-24 00:00:00+05:30,37.6306665009,31.995841260000002,0.0,12.69021011049,8.09592630959,0.0
2013-08-25 00:00:00+05:30,35.517665984,31.77990892,0.0,12.784317316940001,4.66994335866,0.0
2013-08-26 00:00:00+05:30,55.84374728812,33.78175019,0.0,13.81163671374,14.27641308137,0.0
2013-08-27 00:00:00+05:30,55.5852475572,36.77704932,0.0,13.88962066099,13.088238759740001,0.0
2013-08-28 00:00:00+05:30,52.572899767159996,36.54480483,0.0,13.452566746370001,7.6937962638999995,0.0
2013-08-29 00:00:00+05:30,57.38527455055,36.178162130000004,0.0,12.881740228089999,12.09847849284,0.0
2013-08-30 00:00:00+05:30,54.16045879777,33.710498560000005,0.0,12.58275354662,13.294669034630001,0.0
2013-08-31 00:00:00+05:30,29.81199482081,32.59352693,0.0,12.499255660180001,9.42835796402,0.0
2013-09-01 00:00:00+05:30,19.745029774,32.8883431,0.0,11.97335249238,6.64439734664,0.0
